番号,section,単語,意味
107,section2,previous,以前の；（時間・順序的に）前の～、前回の～
108,section2,eminent,著名な、すぐれた、卓越した
109,section2,outstanding,目立った；傑出した；未解決の
110,section2,missing,行方不明の；欠落した；欠けている
111,section2,generous,寛大な、気前の良い；たくさんの
112,section2,scarce,乏しい、不十分な、少ない、不足した
113,section2,affluent,豊かな、裕福な、おびただしい
114,section2,faint,かすかな、弱々しい、ぼんやりした、気を失いそうな
115,section2,suburb,郊外、住宅地；(～s) 周辺、付近
116,section2,astronomy,天文学
117,section2,superficial,表面の、うわべだけの
118,section2,shallow,浅い；浅はかな
119,section2,conspicuous,目立つ；人目を引く
120,section2,eternal,永遠の、永久の
121,section2,transient,一時的な、つかの間の；短期滞在の
122,section2,profound,（意味などが）深い、深遠な；難解な
123,section2,legitimate,正当な；合法的な
124,section2,invalid,無効の、根拠の薄い；病弱な
125,section2,minute,非常に小さい、ささいな、詳細な
126,section2,reckless,向こう見ずな；気にかけない
127,section2,superfluous,過分の；無用の
128,section2,prudent,用心深い；分別のある
129,section2,arbitrary,任意の；独断的な
130,section2,deprive,～から（～を）奪う、～から剥奪する
131,section2,rob,～から（...を）奪う
132,section2,own,～を持っている
133,section2,owe,～に借りがある；～に負うている
134,section2,perform,～を演奏・上演する；（仕事など）を行う、～を遂行する
135,section2,decline,～を断る
136,section2,increase,増加する；上昇する
137,section2,fix,～を修理する；（食事など）を用意する；～を固定する；～を決める
138,section2,wind,曲がりくねる
139,section2,decide,～を決意する、（論争、問題など）に決着をつける、～を決める
140,section2,determine,～を決意する、～を決心する、～を（はっきりと）決める
141,section2,abolish,（法律、制度など）を廃止する
142,section2,extend,～を延長する、～を拡大する；～を示す、～を施す
143,section2,bury,～を埋める；～を埋葬する
144,section2,dig,（～を）掘る、～を掘り出す
145,section2,encounter,～に偶然出くわす；～に直面する
146,section2,declare,～を宣言する、～と言明する、～と断言する
147,section2,negotiate,交渉する、話し合う
148,section2,grasp,～をつかむ；～を理解する
149,section2,measure,～を測る、～を見積もる、～を示す；寸法：測定；（～s）手段、対策
150,section2,discard,～を捨てる
151,section2,abandon,～を放棄する；～をあきらめる；～を捨てる；～を見捨てる
152,section2,enhance,（価値など）を高める
153,section2,diminish,～を減少させる、～を小さくする
154,section2,prolong,（時間・期間など）を延長する
155,section2,overhear,～をふと耳にする
156,section2,overlook,～を見落とす；～を大目に見る；～を見下ろす
157,section2,pursue,～を追跡する；～を追求する；（仕事など）に従事する
158,section2,warrant,～を保証する；（事）からすると～は当然のことである
159,section2,compensate,～に（～を）補償する；～に埋め合わせをする；（～に）償う
160,section2,paralyze,～を麻痺させる
161,section2,groan,（絶望などで）うめく
162,section2,witch,魔女
163,section2,experience,経験、体験
164,section2,sweat,汗；骨折りの仕事
165,section2,summary,要約、大意
166,section2,talent,才能、素質；才能のある人
167,section2,storm,嵐、荒天
168,section2,principle,原理、原則；本質、根元；（～s）基礎
169,section2,principal,主要な、第一位の
170,section2,purpose,目的；意図
171,section2,psychology,心理学；心理（状態）；心理作戦
172,section2,museum,博物館；美術館
173,section2,notion,概念、考え、意見；気まぐれな考え
174,section2,vary,変わる、変化する、異なる
175,section2,doctrine,（宗教上の）教義；（政策上の）主義
176,section2,district,地区、地方、地域
177,section2,court,裁判所、宮廷、庭、（テニスなどの）コート
178,section2,burden,重荷；荷物；負担；苦労
179,section2,tribe,部族、種族
180,section2,tragedy,悲劇、悲劇的な出来事
181,section2,tension,緊張、不安、緊迫状態；張りの度合い
182,section2,experiment,実験、試験
183,section2,hostage,人質
184,section2,friction,摩擦；あつれき、不和
185,section2,fraction,断片；一部；分散
186,section2,aristocracy,貴族政治；（the～) 貴族階級
187,section2,agony,苦悩、苦しみ
188,section2,agitator,扇動家
189,section2,foe,敵
190,section2,outbreak,（悪いことの）突発、発生；暴動、反乱
191,section2,perseverance,忍耐、根気強さ
192,section2,kidnap,～を誘拐する
193,section2,tyranny,暴政、圧政；過酷
194,section2,crisis,危機
195,section2,compare,～を比較する；～をたとえる
196,section2,enemy,敵
197,section2,degree,学位；（温度・角度などの）度；程度、段階
198,section2,junior,（～より）下級［年下・年少］の
199,section2,senior,年上の；（役職、地位などが）上の
200,section2,research,研究、調査
201,section3,reason,理由、根拠；理性、思考力；道理
202,section3,concern,関心事；関係；心配；懸念；（関係のある［心配すべき］）事柄
203,section3,average,平均
204,section3,absolute,完全な；全くの；絶対的な、絶対の
205,section3,depart,出発する；はずれる
206,section3,divorce,～と離婚する；～を（...から）分離する
207,section3,vacant,（部屋・座席などが）空いている；からの；うつろな
208,section3,endanger,～を危険にさらす
209,section3,perish,死ぬ；消滅する；悪くなる
210,section3,instinct,本能、天性
211,section3,impulse,衝動；衝撃
212,section3,compete,競争する；匹敵する
213,section3,competent,能力のある、有能な
214,section3,intimate,親密な、とても私的な、内心の
215,section3,jealous,嫉妬深い；妬んで
216,section3,terminate,～を終わらせる
217,section3,shatter,粉々になる
218,section3,peril,危険
219,section3,intricate,入り組んだ、複雑な、はっきりしない
220,section3,crush,～を押しつぶす
221,section3,crash,衝突、墜落；すさまじい音；株価などの暴落
222,section3,intervene,干渉する、仲裁する；（２つの時期などの間に）介在する
223,section3,split,～を割る、～を裂く；～を分配する
224,section3,infectious,伝染性の
225,section3,devastating,壊滅的な被害をもたらす、壊滅的な
226,section3,intuition,直観
227,section3,harvest,収穫（物）、収穫量（高）
228,section3,heir,相続人
229,section3,numerous,多数の、多くの
230,section3,fortune,運；幸運；繁栄；財産、富
231,section3,gain,～を得る、～を増やす
232,section3,resource,（～ｓ）資源、財源、貯蔵、手段；臨機応変の才、機転
233,section3,search,～を捜す；～を所持品検査する
234,section3,lesson,教訓；授業；（教科書の）課
235,section3,fate,運命
236,section3,discipline,訓練、修行、しつけ、規律；学科、学問領域
237,section3,temple,寺院、神殿
238,section3,learned,学問のある；博学な
239,section3,genius,天才、非凡な才能
240,section3,insight,洞察（力）
241,section3,generate,～を生み出す；～を発生させる
242,section3,fund,資金、基金
243,section3,millionaire,百万長者、大富豪
244,section3,multiply,～をどんどん増やす；～に（数）を掛ける
245,section3,lessen,～を少なくする
246,section3,endeavor,努力、試み
247,section3,destiny,運命、宿命
248,section3,religion,宗教、信仰；信条、主義
249,section3,coherent,一貫した；筋の通った
250,section3,cite,～を引用する
251,section3,quote,～を引用する
252,section3,thesis,主題、論題；命題；（学位）論文
253,section3,verify,～が正しいことを証明する；～を確かめる
254,section3,withhold,～を保留する；（感情など）をおさえる
255,section3,hypothesis,仮説、前提
256,section3,analogy,類推；類似
257,section3,premier,首相
258,section3,embassy,大使館
259,section3,ambassador,大使
260,section3,encourage,～を勇気づける、～を励ます、～を促進する
261,section3,disappoint,～を失望させる、～をがっかりさせる
262,section3,prefer,～を好む；～が好きだ
263,section3,hate,～を憎む、～を嫌う、～が大嫌い
264,section3,hatred,憎しみ、嫌悪
265,section3,praise,～をほめる、～を賞賛する
266,section3,demand,～を要求する；～を尋ねる
267,section3,supply,～を供給する、～に与える；～を補充する
268,section3,income,収入、所得
269,section3,impose,（義務など）を課す、（意見など）を押しつける
270,section3,tax,税金、重い負担
271,section3,naked,裸の；むきだしの；ありのままの
272,section3,muscle,筋肉；筋力、腕力、体力
273,section3,obstacle,障害（物）、支障
274,section3,interfere,干渉する、妨げる、邪魔［妨害］をする
275,section3,efficient,効率的な、有能な、効率的に仕事をこなす
276,section3,effect,影響、効果；結果；（結果を）もたらす
277,section3,reputation,評判、名声、信望
278,section3,widespread,広範囲に及ぶ
279,section3,sole,唯一の；単独の
280,section3,soul,魂、精神；人；情熱；本質的なもの
281,section3,exclaim,叫ぶ
282,section3,minister,大臣；牧師、聖職者
283,section3,pray,祈る；～に懇願する
284,section3,retreat,退却；休養の場所；退却する；引退する
285,section3,sequence,連続（するもの）; 結果
286,section3,meditate,深く考える；熟慮する；瞑想する
287,section3,flatter,～にお世辞を言う、～にへつらう；～をうれしがらせる、～をおだてる
288,section3,compliment,ほめ言葉；賛辞
289,section3,supplement,補足、付録
290,section3,traitor,反逆者、裏切り者
291,section3,sneer,冷笑する
292,section3,fanatical,狂信的な、熱狂的な
293,section3,lose,～を失う；（試合など）に負ける；（体重など）を減らす
294,section3,progress,前進、発展；経過
295,section3,object,物、物体；対象；目的、目標；目的語
296,section3,source,源；出所、原因
297,section3,liquid,液体；流動体
298,section3,spring,泉；春；バネ
299,section3,perspective,観点、展望；遠近法
300,section3,proceed,進む、前進する；続ける；向かう；手続きする、処分する
301,section4,series,連続、続き
302,section4,origin,起源、由来、発端；生まれ、血統
303,section4,leave,～を置き忘れる；～を(...の状態)にしておく；～を任せる；～を置き去る；～を残す；～を出発する；出発する、退学する；休暇；許可
304,section4,phase,（発達、変化の）段階、時期；（問題などの）面、側面；局面
305,section4,melt,溶ける、やわらぐ、いなくなる、なくなる
306,section4,extinct,（動物のある種族などが）絶滅した、消えた
307,section4,descend,下る；伝わる、遺伝する
308,section4,stretch,～を伸ばす；（手など）を差しのばす；～を誇張・曲解する
309,section4,sink,沈む；衰える
310,section4,shrink,縮む、減少する；しりごみする
311,section4,shift,～を変える、～を移す
312,section4,reform,～を改革する、～を刷新する
313,section4,refine,～を精製する；（技術など）を磨く、～を洗練されたものにする
314,section4,prevail,普及している；勝る、支配する；うまくいく
315,section4,substance,物質、薬物；本質、中身；要旨、骨子
316,section4,stuff,材料；（漠然と）物、こと；要素
317,section4,symptom,徴候、兆し；症状
318,section4,surplus,余剰、過剰；黒字、利益
319,section4,surpass,～をしのぐ；～を越える
320,section4,recede,後退する、手を引く
321,section4,launch,（船）を進水させる；～を打ち上げる；～を開始する
322,section4,ascribe,～を（...の）せいにする；～を（...の）作品とする
323,section4,gauge,計器；標準寸法、規格
324,section4,incentive,刺激、動機；報償（金）
325,section4,rot,腐敗する
326,section4,do,～に～をもたらす、役に立つ；～をする
327,section4,announce,～を公表する；～と知らせる
328,section4,operation,運転、操作；実施；作業、活動、生産過程；手術；軍事行動
329,section4,behave,振る舞う；行儀よくする
330,section4,attempt,～を試みる
331,section4,guess,～と推測する、～を推測する、～を言い当てる
332,section4,raise,（料金・程度など）を高くする、（体の一部）を上げる；～を育てる
333,section4,raw,生の、加工していない；未熟な
334,section4,want,（必要なものの）欠乏；貧困；必要
335,section4,reduce,～を減少させる；～を弱める；～を変える
336,section4,short,短い、不足して；背が低い；簡潔な
337,section4,quit,～をやめる
338,section4,swift,迅速な；即座の
339,section4,cease,やむ、とまる
340,section4,strike,～を打つ；（考えなどが人の心）に浮かぶ；（事が人）に印象を与える
341,section4,chase,～を追跡する
342,section4,arouse,～を刺激する；～を目覚めさせる；～をかきたてる
343,section4,utilize,～を利用する；～を役立たせる
344,section4,conduct,（道徳上の）行い；指導；行為；管理
345,section4,pause,休止；句切り；ちゅうちょ
346,section4,ascend,登る
347,section4,nod,うなずく、会釈する；（うなずいて）同意を表す；いねむりする
348,section4,accumulate,～を蓄積する、ためる
349,section4,heap,（雑然と積まれた）山、かたまり
350,section4,rust,さび
351,section4,soar,舞い上がる；急上昇する
352,section4,cultivate,～を耕作する；～を栽培［養殖］する；（才能など）をみがく；～を開墾する；（親交など）を築く；（精神・才能など）を養う
353,section4,swell,ふくらむ、腫れる；（数量が）増加する
354,section4,degrade,～の品位を下げる、～を降格する
355,section4,soothe,～をなだめる；（痛みなど）を和らげる
356,section4,accelerate,～を加速する；～を促進する
357,section4,deteriorate,悪化する
358,section4,nurture,～を養育する；～を育てる；～を教育する
359,section4,renewable,更新［回復、再開］できる
360,section4,handle,～を扱う；～を処理する；～を論じる；～に手を触れる
361,section4,derive,～を引き出す
362,section4,active,積極的な、能動的な；活動している、有効な
363,section4,reach,～に着く、～に届く；～と連絡を取る
364,section4,still,じっとしている、静かな
365,section4,force,～に（～することを）強制する；～を強いる
366,section4,run,競走に出る、立候補する；流れる；（～に）なる；走る；動く、作動する
367,section4,enforce,（法律など）を施行する、～を強制する
368,section4,bear,～を生む；～に耐える；～を持っている；～を身につける；～を運ぶ；～を支える
369,section4,turn,回る；曲がる；向かう；（～に）なる；振り返る；変質する
370,section4,action,行動、おこない、アクション
371,section4,wipe,～をふく、～をぬぐう
372,section4,withdraw,～を引っ込める、～を撤回する；（現金など）を引き出す
373,section4,dare,あえて（～）する、～に立ち向かう、思い切って～する
374,section4,extract,～を抜き出す、～を抜粋する
375,section4,skip,はね回る；スキップする；拾い読みする
376,section4,insert,挿入物、差込ページ、折り込み広告
377,section4,deed,行為、行い
378,section4,rear,後部、後ろ
379,section4,interval,（時間の）間隔、周期；休止期間；（空間の）隔たり
380,section4,lower,～を低くする；～をおろす
381,section4,pose,ポーズをとる；ふりをする
382,section4,creep,はう；忍び寄る
383,section4,wither,（植物などが）しおれる；弱まる、衰える
384,section4,leap,跳ぶ；(心が）おどる；（考えが）ひらめく
385,section4,deficient,欠如した、不十分な、不足している
386,section4,reinforce,～を補強する、～を強化する
387,section4,exert,～を行使する［使う］、～を働かせる
388,section4,scratch,～をひっかく；～を（...から）はがし取る；～を線を引いて消す
389,section4,disguise,～を変装させる；～を隠す
390,section4,cast,～を投げる；～に役を割りふる；～を投げかける
391,section4,withstand,～によく耐える；～に持ちこたえる
392,section4,undo,～をほどく ；～を元通りにする、～を取り消す
393,section4,happen,起こる
394,section4,aid,助け；補助器具
395,section4,unite,～を結合する；～を団結させる、～をまとめる
396,section4,assist,～を助ける、～を手伝う
397,section4,arrange,～の手はずを整える；～をきちんとならべる；～を取り決める
398,section4,arise,生じる、起こる
399,section4,approach,～に近づく、～に接近する
400,section4,polish,～を磨く；～を洗練する
401,section5,occur,起こる；（考えなどが心に）浮かぶ
402,section5,exercise,運動、練習、訓練；行使；（～s）式、儀式
403,section5,beat,～を打つ；～を打ち負かす
404,section5,bow,お辞儀をする
405,section5,omit,～を除外する、～を省略する；～を（うっかり）忘れる
406,section5,surface,表面、外観；水面；うわべ
407,section5,site,場所、用地；遺跡
408,section5,detach,～を切り離す、～を取り外す
409,section5,conceal,～を隠す；～を秘密にする
410,section5,inhabit,～に住む、～に生息している
411,section5,possess,～を持っている；（魔物・考えなどが）～にとりつく
412,section5,portion,一部；分け前；一人前
413,section5,upright,まっすぐな、直立した；正しい
414,section5,track,～の（足）跡を追う
415,section5,trace,跡、形跡；ほんのわずかの、微量の；線、見取り図
416,section5,sweep,～を掃く；～を押し流す；～をさっと通過する
417,section5,commit,（罪など）を犯す；～を委託する；～を（～に）ゆだねる
418,section5,overtake,～に追いつく、～と同じになる；～を上回る；～を不意に襲う
419,section5,convert,～を変える；～を改宗させる
420,section5,barren,（土地が）不毛の；内容のない；不妊の
421,section5,rotate,回転する
422,section5,haunt,（考えなどが）～につきまとう；（幽霊が）～に出没する；へしばしば行く
423,section5,glue,～を（糊や接着剤で）接着する
424,section5,bottom,底；下部；ふもと
425,section5,part,部分、部品；役目、せりふ；分け前、分担；側、味方
426,section5,occupy,～を占める、～を占拠する、～に（賃借で）住む
427,section5,hide,～を隠す；～を秘密にする
428,section5,place,～を置く；～を配置する
429,section5,exist,存在する、ある
430,section5,face,～に直面する、～に面する
431,section5,focus,焦点、中心［対象］
432,section5,store,～を蓄える
433,section5,tie,ネクタイ(=necktie)；結び目；同点、引き分け；(～ｓ）つながり、関係
434,section5,select,～を選び出す
435,section5,seek,～を捜し求める；(～しようと）努める；～を求める
436,section5,make,（～の）～になる；～を作る；～を（～の）状態にする；～に（～）させる
437,section5,external,外部の
438,section5,replace,～に取って代わる；～を取り替える；～を元の場所に戻す
439,section5,mount,～を（～に）載せる［はめ込む］；（馬・自転車など）にまたがる［乗る］
440,section5,exclude,～を排除［除外］する
441,section5,lean,もたれる；よりかかる；傾く；頼る
442,section5,row,（人や物の）列、並び
443,section5,contrary,反対の；（～に）反する
444,section5,consent,同意する
445,section5,loyal,忠実な、誠実な、誠意のある
446,section5,mutual,相互の；共通の
447,section5,dominate,～を支配する
448,section5,interact,相互に影響する、相互に意思を伝える、相互にやりとりする
449,section5,solitary,孤独な；ひとりだけの；唯一の
450,section5,counterpart,対応するもの；対の片方
451,section5,cope,うまく処理する；うまく対処する
452,section5,adhere,くっつく、粘着する；（意見、主義などに）固執する、背を向けない
453,section5,static,静的な、元気のない
454,section5,parallel,平行の；相当する、同様な；類似の
455,section5,bilateral,相互の；二者［二国］間の
456,section5,ally,同盟国；連合国
457,section5,base,～の基礎［根拠］を置く
458,section5,hold,～を入れている；～を開催する；～を抱く、持続する；～をとっておく
459,section5,isolate,～を孤立させる、～を分離する、～を隔離する
460,section5,divide,～を分割する、～を分離する、～を分ける、～を分類する
461,section5,move,～を動かす；～を感動させる
462,section5,point,要点；（位置、時間上の）点、瞬間；目的
463,section5,ground,根拠、理由；土地、土壌、運動場、地面、地表
464,section5,escape,逃げる
465,section5,flight,（飛行機の）便、飛ぶこと、飛行；逃走、脱出
466,section5,quarter,４分の１；15分；25セント；四半期；（４学期制の）学期；方角、場所
467,section5,neighbor,近所の人、隣人、隣国（の人）；仲間
468,section5,position,位置、場所；立場、形勢；地位、身分；姿勢；勤め口、職
469,section5,besides,その上；さらに
470,section5,remain,～のままである、～のままでいる；残る、とどまる
471,section5,back,背中；後部
472,section5,follow,～について行く；（忠告など）に従う、～を理解する
473,section5,stick,～をくっつける；～を突き刺す
474,section5,separate,～を引き離す；～に分ける
475,section5,join,～に加わる；～をつなぐ；～に参加する
476,section5,surround,～を取り囲む、～を取り巻く
477,section5,enter,（場所）に入る、～を記入する；（活動など）に加わる
478,section5,scatter,～をまき散らす；～を追い散らす
479,section5,close,接近した；親密な；綿密な= careful
480,section5,situation,位置；立場、状態；きわどい場面
481,section5,spread,～を広げる；～を薄く塗る
482,section5,lead,～を（～に）導く；（生活）を送る;～の先を行く；～を指揮する
483,section5,direction,方向、指導
484,section5,float,浮かぶ
485,section5,narrow,（幅の）狭い；限られた；かろうじての
486,section5,associate,～を連想する
487,section5,react,反応する、作用する；反抗する
488,section5,influence,影響、影響力
489,section5,quarrel,口論；反目、不和
490,section5,cover,～を含む；（ある距離）を行く；～を覆う；～を隠す；～（範囲）に及ぶ；～を扱う
491,section5,resemble,～に似ている
492,section5,affair,出来事；問題；仕事；（～s）事情
493,section5,basis,基礎
494,section5,support,～を支える；～を支持する;～を扶養する；～を裏付ける
495,section5,room,（不可算扱い）空間、場所、可能性、余地、余裕；（可算扱い）部屋；（the～；集合的に）部屋にいる人々
496,section5,delight,喜び、楽しみ
497,section5,desire,要求、願望
498,section5,satisfy,～を満足させる；（義務)を果たす；（基準など）に合致する；～にこたえる
499,section5,fun,楽しいこと、愉快なこと［気分］、戯れ
500,section5,indifferent,無関心な；どうでもよい；公平な
501,section6,intend,～を意図する、～するつもりである
502,section6,long,熱望する；思い焦がれる
503,section6,mean,～を意味する；～を（～の）つもりで言う；～にとって重要性を持つ
504,section6,mind,～を気にする；～を嫌がる；～の世話をする
505,section6,familiar,よく知られている、なじみのある；精通している；ありふれた；親しい
506,section6,shame,恥、恥ずかしさ；残念なこと
507,section6,belong,所属する；（あるべきところに）ある
508,section6,direct,～に道を教える、～を向ける、～に指図（指示）する
509,section6,despise,～を軽蔑する、～をひどくきらう
510,section6,boast,自慢する
511,section6,stand,～を我慢する；～を立てる
512,section6,complain,不平を言う
513,section6,amaze,～をびっくりさせる、～を驚かす
514,section6,ambitious,大望を抱いた；熱望している；野心的な
515,section6,terrible,猛烈な、ひどい；恐ろしい；ひどく悪い
516,section6,affect,～に影響を与える；～のふりをする；～を愛用する、～を好んで身につける；[通常受け身] ～の心を動かす
517,section6,communicate,（意見・情報など）を伝える
518,section6,cross,～を線を引いて消す；～を横切る；～と交差する
519,section6,depend,頼る、依存する；左右される、（～によって）決まる
520,section6,control,制御、抑制；支配、管理
521,section6,companion,仲間；友達
522,section6,avoid,～を避ける
523,section6,attend,～に出席する、～に通う；～を世話する
524,section6,argue,議論する；口論する、言い争う
525,section6,appointment,任命；約束；職、任務
526,section6,acquaintance,知人、知り合い；面識；知識；交際
527,section6,accustomed,慣れる
528,section6,accompany,～と一緒に行く；～に付随して生じる
529,section6,free,無料の；自由な、ひまな；制約のない
530,section6,serve,（目的・必要）にかなう；～に仕える；～に供給する；（食事など）を出す
531,section6,treat,～を扱う；～を治療する；～におごる；～を（...と）みなす
532,section6,submit,服従する
533,section6,rely,（～に）頼る、（～を）あてにする
534,section6,regard,～を（...と）みなす；～を評価する
535,section6,disregard,～を無視する
536,section6,meet,～を満たす；～にかなう；～と交差する；～と会う
537,section6,introduce,～を紹介する；～を導入する
538,section6,independent,独立した、関係がない、自立した
539,section6,impact,衝撃、衝突；影響（力）
540,section6,consensus,（意見の）一致；全体の意見の一致
541,section6,cooperate,協力［協同］する
542,section6,fascinate,～を魅惑する、～をうっとりさせる
543,section6,involve,～を巻き込む、～を没頭させる、～が当然要求される、～を複雑にする、～を含む、～を意味する
544,section6,cling,執着する；くっつく；しがみつく
545,section6,remote,遠い；へんぴな；（時間が）遠く隔たった；かすかな
546,section6,pierce,～を貫く、～を刺す；～の身にしみる、～を感動させる
547,section6,equip,～に備え付ける、～に装備する；～に身につけさせる
548,section6,enclose,～を囲う；～を同封する
549,section6,vertical,垂直の；縦の
550,section6,retain,～を保持する、～を維持する
551,section6,debate,～を討論する、～を熟慮する
552,section6,scream,金切り声を出す、叫ぶ、悲鳴をあげる
553,section6,counsel,～に忠告する、（人）に～（するよう）勧める
554,section6,sigh,ため息
555,section6,review,再考；復習；論評、評判；報告、説明；回顧
556,section6,entertain,～を楽しませる、～をもてなす；（申し出など）を考慮する、（疑念、考えなど）を心に抱く
557,section6,whisper,～と小声で言う；～をこっそり言いふらす
558,section6,survey,～を概観する、～を調査する、～を見渡す
559,section6,narrate,～を（順序立てて）物語る、～を述べる
560,section6,reply,返事をする；応じる
561,section6,convey,～を運ぶ；（思想など）を伝える
562,section6,inquire,～を尋ねる
563,section6,interpret,～を解釈する、～を通訳する
564,section6,consult,相談する；（対等関係で）協議する
565,section6,excuse,～を許す；～の言い訳をする
566,section6,comment,論評；解説；うわさ話
567,section6,chat,おしゃべり
568,section6,persuade,～を説得する；～を説得して...をさせる；～を...だと確信させる
569,section6,bound,縛られた；きっと；確かに
570,section6,neutral,中立の、中性の；はっきりしない、くすんだ
571,section6,conform,従う、適合する、（基準を）満たす
572,section6,combine,～を結合させる
573,section6,discourage,～を落胆させる、～をがっかりさせる；～に思いとどまらせる
574,section6,conceive,～を心に抱く；（～である）と考える
